NUMBER,BILL_LINK,TITLE,FILED_BY,LAST_ACTION_AND_LOCATION
SB 40,https://www.flsenate.gov/Session/Bill/2019/00040,Relief of Ruth Arizpe by the Palm Beach County Board of County Commissioners,Taddeo,Last Action: 3/5/2019 S Introduced -SJ 36
SB 42,https://www.flsenate.gov/Session/Bill/2019/00042,Relief of Dominguez by Hillsborough County,Taddeo,"Last Action: 4/12/2019 S On Committee agenda-- Rules, 04/17/19, 2:00 pm, 110 Senate Building"
SB 44,https://www.flsenate.gov/Session/Bill/2019/00044,Relief of the Justice-2-Jesus Charitable Trust by the State of Florida,Campbell,Last Action: 11/13/2018 S Withdrawn prior to introduction -SJ 37
SB 46,https://www.flsenate.gov/Session/Bill/2019/00046,Relief of Justin Williamson by the St. Johns County School District,Gibson,Last Action: 3/5/2019 S Introduced -SJ 37
SB 48,https://www.flsenate.gov/Session/Bill/2019/00048,Relief of Marcus Button by the Pasco County School Board,Gibson,Last Action: 3/5/2019 S Introduced -SJ 37
SB 50,https://www.flsenate.gov/Session/Bill/2019/00050,Relief of the Estate of Danielle Maudsley by the Department of Highway Safety and Motor Vehicles,Gibson,Last Action: 3/5/2019 S Introduced -SJ 37
SB 52,https://www.flsenate.gov/Session/Bill/2019/00052,Relief of Former Employees of Fairfax Street Wood Treaters by the State of Florida,Gibson,Last Action: 3/5/2019 S Introduced -SJ 37
SB 54,https://www.flsenate.gov/Session/Bill/2019/00054,Possession of Real Property,Rouson,Last Action: 3/5/2019 S Introduced -SJ 37
SB 56,https://www.flsenate.gov/Session/Bill/2019/00056,Presidential Preference Primary,Thurston,Last Action: 3/5/2019 S Introduced -SJ 37
SB 58,https://www.flsenate.gov/Session/Bill/2019/00058,Contempt and Disorderly Conduct Before a Legislative Committee,Book,Last Action: 3/5/2019 S CS by Judiciary read 1st time -SJ 149
SB 60,https://www.flsenate.gov/Session/Bill/2019/00060,Tax Exemption for Diapers and Incontinence Products,Book,Last Action: 4/4/2019 S Now in Appropriations
SB 62,https://www.flsenate.gov/Session/Bill/2019/00062,Students with Disabilities in Public Schools,Book,Last Action: 3/14/2019 S CS by Education read 1st time -SJ 239
SB 64,https://www.flsenate.gov/Session/Bill/2019/00064,Transportation Facility Designations/Officer Lance Christian Whitaker Highway,Gibson,Last Action: 4/11/2019 H Received -HJ 663
SB 66,https://www.flsenate.gov/Session/Bill/2019/00066,Drinking Water in Public Schools,Cruz,Last Action: 4/2/2019 S Now in Appropriations Subcommittee on Education
SB 68,https://www.flsenate.gov/Session/Bill/2019/00068,Transportation Disadvantaged,Book,Last Action: 3/5/2019 S Introduced -SJ 38
SB 70,https://www.flsenate.gov/Session/Bill/2019/00070,State Funds,Mayfield,Last Action: 3/5/2019 S Introduced -SJ 38
SB 72,https://www.flsenate.gov/Session/Bill/2019/00072,Alligator Alley Toll Road,Passidomo,"Last Action: 3/28/2019 S Placed on Calendar, on 2nd reading"
SJR 74,https://www.flsenate.gov/Session/Bill/2019/00074,Single-subject Limitation for Constitution Revision Commission Proposals,Bradley,Last Action: 4/3/2019 H In Messages
SB 76,https://www.flsenate.gov/Session/Bill/2019/00076,Texting While Driving,Simpson,"Last Action: 4/12/2019 S On Committee agenda-- Rules, 04/17/19, 2:00 pm, 110 Senate Building"
SB 78,https://www.flsenate.gov/Session/Bill/2019/00078,Public Financing of Construction Projects,Rodriguez,"Last Action: 4/9/2019 S Now in Appropriations Subcommittee on Agriculture, Environment, and General Government"
SB 80,https://www.flsenate.gov/Session/Bill/2019/00080,Medical Malpractice,Stargel,Last Action: 3/5/2019 S Introduced -SJ 38
SB 82,https://www.flsenate.gov/Session/Bill/2019/00082,Vegetable Gardens,Bradley,Last Action: 3/21/2019 H In Messages
SB 84,https://www.flsenate.gov/Session/Bill/2019/00084,Conversion Therapy,Rodriguez,Last Action: 3/5/2019 S Introduced -SJ 39
SJR 86,https://www.flsenate.gov/Session/Bill/2019/00086,Single-subject Limitation for Constitution Revision Commission Proposals,Rodriguez,Last Action: 3/5/2019 S Introduced -SJ 39
SB 88,https://www.flsenate.gov/Session/Bill/2019/00088,Preemption of Recyclable and Polystyrene Materials,Stewart,Last Action: 3/5/2019 S Introduced -SJ 39
SB 90,https://www.flsenate.gov/Session/Bill/2019/00090,Early Childhood Courts,Book,Last Action: 3/7/2019 S Now in Appropriations
SB 92,https://www.flsenate.gov/Session/Bill/2019/00092,C-51 Reservoir Project,Book,Last Action: 3/5/2019 S CS by Environment and Natural Resources read 1st time -SJ 149
SB 94,https://www.flsenate.gov/Session/Bill/2019/00094,Child Care Facilities,Stewart,"Last Action: 4/12/2019 S On Committee agenda-- Rules, 04/17/19, 2:00 pm, 110 Senate Building"
SB 96,https://www.flsenate.gov/Session/Bill/2019/00096,"Police, Fire, and Search and Rescue Dogs and Police Horses",Bean,Last Action: 4/11/2019 H CS passed; YEAS 116 NAYS 0 -HJ 640
SB 98,https://www.flsenate.gov/Session/Bill/2019/00098,Emergency Medical Air Transportation Services,Stewart,Last Action: 3/5/2019 S Introduced -SJ 39
SB 100,https://www.flsenate.gov/Session/Bill/2019/00100,Transportation Facility Designations,Book,Last Action: 3/15/2019 S Now in Appropriations
SB 102,https://www.flsenate.gov/Session/Bill/2019/00102,Recovery Residences,Book,Last Action: 3/5/2019 S Introduced -SJ 40
SB 104,https://www.flsenate.gov/Session/Bill/2019/00104,Prescription Drug Donation Repository Program,Book,Last Action: 3/5/2019 S CS by Health Policy read 1st time -SJ 149
SB 106,https://www.flsenate.gov/Session/Bill/2019/00106,Specialty License Plates/Orlando United,Stewart,Last Action: 3/5/2019 S Introduced -SJ 40
SB 108,https://www.flsenate.gov/Session/Bill/2019/00108,Regulation of Concealed Weapons Licenses,Book,Last Action: 3/5/2019 S Introduced -SJ 40
SB 110,https://www.flsenate.gov/Session/Bill/2019/00110,Youth in Solitary Confinement,Thurston,Last Action: 3/5/2019 S Introduced -SJ 40
SB 112,https://www.flsenate.gov/Session/Bill/2019/00112,Small Business Road Construction Mitigation Grant Program,Rodriguez,Last Action: 3/5/2019 S Introduced -SJ 41
SB 114,https://www.flsenate.gov/Session/Bill/2019/00114,High School Graduation Requirements/Dorothy L. Hukill Financial Literacy Act,Hutson,Last Action: 4/4/2019 S CS by Rules read 1st time -SJ 325
SB 116,https://www.flsenate.gov/Session/Bill/2019/00116,Motor Vehicle Racing,Stewart,Last Action: 3/19/2019 S Now in Rules
SJR 118,https://www.flsenate.gov/Session/Bill/2019/00118,Election of Secretary of State/Membership of Cabinet,Bean,Last Action: 3/5/2019 S Introduced -SJ 41
SB 120,https://www.flsenate.gov/Session/Bill/2019/00120,Early Childhood Music Education Incentive Pilot Program,Perry,"Last Action: 4/12/2019 S Placed on Calendar, on 2nd reading"
SB 122,https://www.flsenate.gov/Session/Bill/2019/00122,Agreements Between Service Providers and Consumers,Broxson,"Last Action: 4/12/2019 S On Committee agenda-- Rules, 04/17/19, 2:00 pm, 110 Senate Building"
SB 124,https://www.flsenate.gov/Session/Bill/2019/00124,Dependent Children,Bean,Last Action: 4/11/2019 H CS passed; YEAS 116 NAYS 0 -HJ 642
SB 126,https://www.flsenate.gov/Session/Bill/2019/00126,Eligibility for Medical Assistance and Related Services,Thurston,Last Action: 3/5/2019 S Introduced -SJ 42
SB 128,https://www.flsenate.gov/Session/Bill/2019/00128,Child Abuse,Bean,Last Action: 3/7/2019 S CS/CS by Criminal Justice read 1st time -SJ 188
SB 130,https://www.flsenate.gov/Session/Bill/2019/00130,Sexual Battery Prosecution Time Limitation,Stewart,Last Action: 3/5/2019 S Introduced -SJ 42
SB 132,https://www.flsenate.gov/Session/Bill/2019/00132,Drones,Rouson,Last Action: 3/5/2019 S CS by Criminal Justice read 1st time -SJ 150
SB 134,https://www.flsenate.gov/Session/Bill/2019/00134,Florida Black Bears,Stewart,Last Action: 3/5/2019 S Introduced -SJ 42
SB 136,https://www.flsenate.gov/Session/Bill/2019/00136,False Personation,Rouson,Last Action: 3/5/2019 S Introduced -SJ 42
SB 138,https://www.flsenate.gov/Session/Bill/2019/00138,Judicial Nominating Commissions,Thurston,Last Action: 3/5/2019 S Introduced -SJ 42
SB 140,https://www.flsenate.gov/Session/Bill/2019/00140,Specialty License Plates/Gopher Tortoise,Stewart,Last Action: 3/5/2019 S Introduced -SJ 42
SB 142,https://www.flsenate.gov/Session/Bill/2019/00142,Permit Fees,Perry,"Last Action: 3/27/2019 S Laid on Table, refer to CS/HB 127 -SJ 276"
SB 144,https://www.flsenate.gov/Session/Bill/2019/00144,Impact Fees,Gruters,"Last Action: 4/4/2019 S Laid on Table, refer to CS/HB 207 -SJ 324"
SB 146,https://www.flsenate.gov/Session/Bill/2019/00146,Advanced Well Stimulation Treatment,Stewart,Last Action: 3/5/2019 S Introduced -SJ 43
SB 148,https://www.flsenate.gov/Session/Bill/2019/00148,Relief of Scotty Bartek by the State of Florida,Baxley,Last Action: 3/5/2019 S Introduced -SJ 43
SB 150,https://www.flsenate.gov/Session/Bill/2019/00150,Tobacco-free Schools,Rader,Last Action: 3/5/2019 S Introduced -SJ 43
SB 152,https://www.flsenate.gov/Session/Bill/2019/00152,Instructional Personnel Salaries,Rader,Last Action: 3/5/2019 S Introduced -SJ 43
SB 154,https://www.flsenate.gov/Session/Bill/2019/00154,Medical Marijuana Retail Facilities,Thurston,Last Action: 3/5/2019 S Introduced -SJ 43
SB 156,https://www.flsenate.gov/Session/Bill/2019/00156,State Taxes or Fees,Thurston,Last Action: 3/5/2019 S Introduced -SJ 43
SB 158,https://www.flsenate.gov/Session/Bill/2019/00158,Traffic Offenses,Baxley,Last Action: 3/5/2019 S Introduced -SJ 44
SB 160,https://www.flsenate.gov/Session/Bill/2019/00160,Prohibited Acts in Connection with Obscene or Lewd Materials,Book,Last Action: 4/4/2019 H In Messages
SB 162,https://www.flsenate.gov/Session/Bill/2019/00162,Reentry Into this State by Certain Persons,Gruters,Last Action: 3/5/2019 S Introduced -SJ 44
SB 164,https://www.flsenate.gov/Session/Bill/2019/00164,Verification of Employment Eligibility,Bean,Last Action: 3/5/2019 S Introduced -SJ 44
SB 166,https://www.flsenate.gov/Session/Bill/2019/00166,Relief of Dontrell Stephens by the Palm Beach County Sheriff’s Office,Diaz,Last Action: 3/5/2019 S Introduced -SJ 44
SB 168,https://www.flsenate.gov/Session/Bill/2019/00168,Federal Immigration Enforcement,Gruters,"Last Action: 4/12/2019 S On Committee agenda-- Rules, 04/17/19, 2:00 pm, 110 Senate Building"
SB 170,https://www.flsenate.gov/Session/Bill/2019/00170,Federal Immigration Enforcement,Bean,Last Action: 3/5/2019 S Introduced -SJ 45
SB 172,https://www.flsenate.gov/Session/Bill/2019/00172,Florida Endowment for Vocational Rehabilitation,Bean,"Last Action: 4/12/2019 S Placed on Calendar, on 2nd reading"
SB 174,https://www.flsenate.gov/Session/Bill/2019/00174,Panic Alarms in Public Schools,Book,Last Action: 3/5/2019 S Introduced -SJ 45
SB 176,https://www.flsenate.gov/Session/Bill/2019/00176,Sales Tax Exemption/Items that Assist in Independent Living,Berman,Last Action: 3/26/2019 S CS by Finance and Tax read 1st time -SJ 267
SB 178,https://www.flsenate.gov/Session/Bill/2019/00178,Florida Tourism Marketing,Gruters,Last Action: 4/10/2019 S Placed on 3rd reading
SB 180,https://www.flsenate.gov/Session/Bill/2019/00180,Lost or Abandoned Personal Property,Stargel,Last Action: 4/8/2019  Chapter No. 2019-6
SB 182,https://www.flsenate.gov/Session/Bill/2019/00182,Medical Use of Marijuana,Brandes,Last Action: 3/18/2019  Chapter No. 2019-1
SB 184,https://www.flsenate.gov/Session/Bill/2019/00184,Aging Programs,Book,Last Action: 4/11/2019 H CS passed; YEAS 116 NAYS 0 -HJ 646
SB 186,https://www.flsenate.gov/Session/Bill/2019/00186,Public Records/Victim of Mass Violence,Lee,Last Action: 4/3/2019 H In Messages
SB 188,https://www.flsenate.gov/Session/Bill/2019/00188,Department of Health,Harrell,"Last Action: 4/10/2019 H Temporarily postponed, on 2nd Reading -HJ 604"
SB 190,https://www.flsenate.gov/Session/Bill/2019/00190,Education,Stargel,Last Action: 3/20/2019 S Now in Appropriations
SB 192,https://www.flsenate.gov/Session/Bill/2019/00192,Medicaid Eligibility,Bean,"Last Action: 3/25/2019 S On Committee agenda-- Appropriations, 03/28/19, 9:00 am, 412 Knott Building --Meeting cancelled"
SB 194,https://www.flsenate.gov/Session/Bill/2019/00194,Higher Education,Stargel,"Last Action: 4/11/2019 S On Committee agenda-- Appropriations Subcommittee on Education, 04/16/19, 9:00 am, 412 Knott Building"
SB 196,https://www.flsenate.gov/Session/Bill/2019/00196,Office of Public Counsel,Powell,Last Action: 3/26/2019 S Now in Rules
SB 198,https://www.flsenate.gov/Session/Bill/2019/00198,Trademark Classifications,Berman,"Last Action: 4/4/2019 S Placed on Calendar, on 2nd reading"
SB 200,https://www.flsenate.gov/Session/Bill/2019/00200,"Relief of the Estate of Herminio Padilla, Jr., by the City of West Palm Beach and Others",Cruz,"Last Action: 4/12/2019 S On Committee agenda-- Rules, 04/17/19, 2:00 pm, 110 Senate Building"
SB 202,https://www.flsenate.gov/Session/Bill/2019/00202,Property Tax Exemptions,Wright,Last Action: 3/6/2019 S Now in Finance and Tax
SB 204,https://www.flsenate.gov/Session/Bill/2019/00204,Detention Facilities,Brandes,Last Action: 3/5/2019 S CS by Criminal Justice read 1st time -SJ 151
SB 206,https://www.flsenate.gov/Session/Bill/2019/00206,Physician Orders for Life-sustaining Treatment,Brandes,Last Action: 3/5/2019 S Introduced -SJ 47
SB 208,https://www.flsenate.gov/Session/Bill/2019/00208,Public Records/Clearinghouse for Compassionate and Palliative Care Plans,Brandes,Last Action: 3/5/2019 S Introduced -SJ 48
SB 210,https://www.flsenate.gov/Session/Bill/2019/00210,Searches of Cellular Phones and Other Electronic Devices,Brandes,Last Action: 3/5/2019 S CS by Criminal Justice read 1st time -SJ 151
SB 212,https://www.flsenate.gov/Session/Bill/2019/00212,Interstate Compact on Educational Opportunity for Military Children,Wright,Last Action: 4/8/2019  Chapter No. 2019-7
SB 214,https://www.flsenate.gov/Session/Bill/2019/00214,Onsite Sewage Treatment and Disposal Systems,Gruters,Last Action: 3/5/2019 S Introduced -SJ 48
SB 216,https://www.flsenate.gov/Session/Bill/2019/00216,Water Quality Improvements,Gruters,Last Action: 3/14/2019 S CS by Environment and Natural Resources read 1st time -SJ 239
SB 218,https://www.flsenate.gov/Session/Bill/2019/00218,Smoking,Gruters,Last Action: 3/5/2019 S Introduced -SJ 49
SB 220,https://www.flsenate.gov/Session/Bill/2019/00220,Beverage Law,Brandes,Last Action: 3/7/2019 S CS by Commerce and Tourism read 1st time -SJ 152
SB 222,https://www.flsenate.gov/Session/Bill/2019/00222,Private Property Rights,Rodriguez,Last Action: 3/5/2019 S Introduced -SJ 49
SB 224,https://www.flsenate.gov/Session/Bill/2019/00224,Campaign Financing,Gruters,Last Action: 3/5/2019 S Introduced -SJ 49
SB 226,https://www.flsenate.gov/Session/Bill/2019/00226,Mastery-based Education,Brandes,Last Action: 4/8/2019 S Now in Appropriations
SB 228,https://www.flsenate.gov/Session/Bill/2019/00228,Public Records/Probable Cause Finding,Gruters,Last Action: 3/5/2019 S Introduced -SJ 49
SB 230,https://www.flsenate.gov/Session/Bill/2019/00230,Voter Registration Maintenance,Gruters,Last Action: 4/9/2019 S Now in Appropriations
SJR 232,https://www.flsenate.gov/Session/Bill/2019/00232,Percentage of Elector Votes Required to Approve an Amendment or a Revision,Baxley,Last Action: 3/20/2019 S Now in Judiciary
SB 234,https://www.flsenate.gov/Session/Bill/2019/00234,Registration and Titling of Vehicles and Vessels,Baxley,"Last Action: 4/3/2019 S Laid on Table, refer to CS/CS/HB 87 -SJ 310"
SB 236,https://www.flsenate.gov/Session/Bill/2019/00236,Public Records and Public Meetings,Book,Last Action: 3/6/2019 S Now in Rules
SB 238,https://www.flsenate.gov/Session/Bill/2019/00238,Sexual Misconduct,Book,Last Action: 3/5/2019 S Introduced -SJ 50
SB 240,https://www.flsenate.gov/Session/Bill/2019/00240,Sexual Harassment,Book,Last Action: 3/5/2019 S Introduced -SJ 50
SB 242,https://www.flsenate.gov/Session/Bill/2019/00242,Beverage Law,Hutson,Last Action: 3/5/2019 S Introduced -SJ 50
SB 244,https://www.flsenate.gov/Session/Bill/2019/00244,High School Academic Advisors,Hutson,Last Action: 3/5/2019 S Introduced -SJ 51
SB 246,https://www.flsenate.gov/Session/Bill/2019/00246,Public Construction,Hooper,Last Action: 3/7/2019 S CS/CS by Community Affairs read 1st time -SJ 188
SB 248,https://www.flsenate.gov/Session/Bill/2019/00248,Public Records/Civilian Personnel Employed by a Law Enforcement Agency,Hooper,Last Action: 4/11/2019 H CS passed; YEAS 116 NAYS 0 -HJ 641
SB 250,https://www.flsenate.gov/Session/Bill/2019/00250,State Housing Tax Credits,Flores,Last Action: 3/5/2019 S CS by Community Affairs read 1st time -SJ 153
SB 252,https://www.flsenate.gov/Session/Bill/2019/00252,"Driver License, Identification Card, and Motor Vehicle Registration Applications",Flores,Last Action: 4/10/2019 S Placed on 3rd reading
SB 254,https://www.flsenate.gov/Session/Bill/2019/00254,Marriage Equality,Farmer,Last Action: 3/5/2019 S Introduced -SJ 51
SB 256,https://www.flsenate.gov/Session/Bill/2019/00256,Child Protection Teams,Baxley,"Last Action: 3/13/2019 S Placed on Calendar, on 2nd reading"
SB 258,https://www.flsenate.gov/Session/Bill/2019/00258,Use of Genetic Information,Bean,Last Action: 4/10/2019 S CS by Health Policy read 1st time -SJ 343
SB 260,https://www.flsenate.gov/Session/Bill/2019/00260,STEMI Registry,Baxley,Last Action: 3/5/2019 S Introduced -SJ 51
SB 262,https://www.flsenate.gov/Session/Bill/2019/00262,Child Welfare,Albritton,"Last Action: 3/6/2019 S Placed on Calendar, on 2nd reading"
SB 264,https://www.flsenate.gov/Session/Bill/2019/00264,Florida Workers’ Compensation Joint Underwriting Association,Gruters,Last Action: 4/9/2019 S Now in Appropriations
SCR 266,https://www.flsenate.gov/Session/Bill/2019/00266,Equal Rights for Men and Women,Gibson,Last Action: 3/5/2019 S Introduced -SJ 52
SB 268,https://www.flsenate.gov/Session/Bill/2019/00268,Voting Methods,Baxley,Last Action: 3/7/2019 S CS/CS by Community Affairs read 1st time -SJ 189
SJR 270,https://www.flsenate.gov/Session/Bill/2019/00270,Repeal of Public Campaign Financing Requirement,Baxley,Last Action: 3/5/2019 S Now in Judiciary
SB 272,https://www.flsenate.gov/Session/Bill/2019/00272,Campaign Finance,Baxley,Last Action: 3/5/2019 S Now in Judiciary
SJR 274,https://www.flsenate.gov/Session/Bill/2019/00274,Limitation on Terms of Office for Members of a District School Board,Baxley,"Last Action: 4/12/2019 S On Committee agenda-- Rules, 04/17/19, 2:00 pm, 110 Senate Building"
SB 276,https://www.flsenate.gov/Session/Bill/2019/00276,Legislative Employees,Taddeo,Last Action: 3/5/2019 S Introduced -SJ 52
SB 278,https://www.flsenate.gov/Session/Bill/2019/00278,Pro Se Assistance,Taddeo,Last Action: 3/5/2019 S Introduced -SJ 53
SB 280,https://www.flsenate.gov/Session/Bill/2019/00280,Placement of Instructional Personnel,Albritton,Last Action: 3/5/2019 S Introduced -SJ 53
SB 282,https://www.flsenate.gov/Session/Bill/2019/00282,Property-assessed Clean Environment,Albritton,Last Action: 3/5/2019 S Introduced -SJ 53
SJR 284,https://www.flsenate.gov/Session/Bill/2019/00284,Medicaid Expansion,Taddeo,Last Action: 3/5/2019 S Introduced -SJ 53
SB 286,https://www.flsenate.gov/Session/Bill/2019/00286,Domestic Wastewater Collection System Assessment and Maintenance,Albritton,Last Action: 4/11/2019 S Now in Appropriations
SB 288,https://www.flsenate.gov/Session/Bill/2019/00288,Monuments and Memorials,Baxley,Last Action: 3/5/2019 S Introduced -SJ 53
SB 290,https://www.flsenate.gov/Session/Bill/2019/00290,Medicaid School-based Services,Montford,Last Action: 3/5/2019 S Introduced -SJ 53
SB 292,https://www.flsenate.gov/Session/Bill/2019/00292,Education,Lee,Last Action: 4/10/2019 S Placed on 3rd reading
SB 294,https://www.flsenate.gov/Session/Bill/2019/00294,Educational Facilities,Montford,Last Action: 3/5/2019 S Introduced -SJ 53
SB 296,https://www.flsenate.gov/Session/Bill/2019/00296,District Millage Elections,Montford,Last Action: 4/2/2019 S CS by Education read 1st time -SJ 287
SB 298,https://www.flsenate.gov/Session/Bill/2019/00298,Rural Communities,Montford,Last Action: 4/9/2019 S CS by Finance and Tax read 1st time -SJ 334
SB 300,https://www.flsenate.gov/Session/Bill/2019/00300,Testing for and Treatment of Influenza and Streptococcus,Brandes,Last Action: 3/5/2019 S Introduced -SJ 54
SB 302,https://www.flsenate.gov/Session/Bill/2019/00302,Nonemergency Medical Transportation Services,Brandes,Last Action: 3/12/2019 S Now in Rules
SB 304,https://www.flsenate.gov/Session/Bill/2019/00304,Prescriptive Authority Certification for Psychologists,Brandes,Last Action: 3/5/2019 S Introduced -SJ 54
SB 306,https://www.flsenate.gov/Session/Bill/2019/00306,Traffic Infraction Detectors,Brandes,Last Action: 1/31/2019 S Withdrawn prior to introduction -SJ 54
SB 308,https://www.flsenate.gov/Session/Bill/2019/00308,Nonemergency Medical Transportation Services,Brandes,Last Action: 3/5/2019 S Introduced -SJ 54
SB 310,https://www.flsenate.gov/Session/Bill/2019/00310,Off-highway Vehicles,Perry,Last Action: 4/11/2019 H Received -HJ 664
SB 312,https://www.flsenate.gov/Session/Bill/2019/00312,Alternative High School Graduation Requirements,Montford,Last Action: 3/5/2019 S Introduced -SJ 55
SB 314,https://www.flsenate.gov/Session/Bill/2019/00314,Advanced Well Stimulation Treatment,Montford,Last Action: 3/5/2019 S CS by Environment and Natural Resources read 1st time -SJ 153
SB 316,https://www.flsenate.gov/Session/Bill/2019/00316,Contracts for the Sale or Lease of Pets,Taddeo,Last Action: 3/5/2019 S Introduced -SJ 55
SB 318,https://www.flsenate.gov/Session/Bill/2019/00318,"Public Records/Child Abuse, Abandonment, or Neglect",Montford,Last Action: 4/10/2019 S Placed on 3rd reading
SB 320,https://www.flsenate.gov/Session/Bill/2019/00320,Residential Conservation Programs,Hooper,Last Action: 4/11/2019 H Received -HJ 664
SB 322,https://www.flsenate.gov/Session/Bill/2019/00322,Preexisting Conditions,Simpson,Last Action: 4/10/2019 S Retained on Calendar
SB 324,https://www.flsenate.gov/Session/Bill/2019/00324,Limitations on Homestead Assessments,Brandes,Last Action: 4/4/2019 S Now in Appropriations
SJR 326,https://www.flsenate.gov/Session/Bill/2019/00326,Homestead Property Tax Assessments/Increased Portability Period,Brandes,Last Action: 4/4/2019 S Now in Appropriations
SB 328,https://www.flsenate.gov/Session/Bill/2019/00328,Courts,Brandes,"Last Action: 4/11/2019 S On Committee agenda-- Appropriations Subcommittee on Criminal and Civil Justice, 04/16/19, 9:00 am, 37 Senate Building"
SB 330,https://www.flsenate.gov/Session/Bill/2019/00330,Educational Standards for K-12 Public Schools,Baxley,Last Action: 3/5/2019 S Introduced -SJ 56
SB 332,https://www.flsenate.gov/Session/Bill/2019/00332,Incarcerated Women,Pizzo,Last Action: 3/7/2019 S Now in Appropriations
SB 334,https://www.flsenate.gov/Session/Bill/2019/00334,Professional Regulation,Brandes,Last Action: 4/10/2019 S CS/CS by Commerce and Tourism read 1st time -SJ 343
SB 336,https://www.flsenate.gov/Session/Bill/2019/00336,Local Tax Referenda,Brandes,"Last Action: 4/12/2019 S On Committee agenda-- Rules, 04/17/19, 2:00 pm, 110 Senate Building"
SB 338,https://www.flsenate.gov/Session/Bill/2019/00338,Extension of Confinement,Brandes,Last Action: 3/7/2019 S Now in Appropriations
SR 340,https://www.flsenate.gov/Session/Bill/2019/00340,Landscape Architecture Month,Perry,Last Action: 3/27/2019 S Adopted -SJ 275
SB 342,https://www.flsenate.gov/Session/Bill/2019/00342,Public Records/Voters and Voter Registration,Lee,"Last Action: 4/12/2019 S On Committee agenda-- Rules, 04/17/19, 2:00 pm, 110 Senate Building"
SJR 344,https://www.flsenate.gov/Session/Bill/2019/00344,Homestead Property Assessments/Prohibition on Increases,Diaz,Last Action: 3/7/2019 S CS by Community Affairs read 1st time -SJ 189
SB 346,https://www.flsenate.gov/Session/Bill/2019/00346,Conditional Medical Release,Brandes,Last Action: 3/7/2019 S Now in Appropriations
SB 348,https://www.flsenate.gov/Session/Bill/2019/00348,Exceptional Student Education State Assessment Accommodation Task Force,Montford,Last Action: 3/5/2019 S Introduced -SJ 57
SB 350,https://www.flsenate.gov/Session/Bill/2019/00350,Affordable Housing,Hutson,Last Action: 3/7/2019 S CS by Community Affairs read 1st time -SJ 189
SB 352,https://www.flsenate.gov/Session/Bill/2019/00352,Shark Fins and Ray Parts,Gruters,Last Action: 3/5/2019 S Introduced -SJ 57
SB 354,https://www.flsenate.gov/Session/Bill/2019/00354,Immunization Registry,Montford,"Last Action: 4/10/2019 S Placed on Calendar, on 2nd reading"
SB 356,https://www.flsenate.gov/Session/Bill/2019/00356,School Health Immunizations,Rodriguez,Last Action: 3/5/2019 S Introduced -SJ 57
SB 358,https://www.flsenate.gov/Session/Bill/2019/00358,Health Insurance Coverage for Enteral Formulas,Stargel,Last Action: 4/2/2019 S Now in Appropriations
SB 360,https://www.flsenate.gov/Session/Bill/2019/00360,Insurance Coverage Parity for Mental Health and Substance Use Disorders,Rouson,Last Action: 3/5/2019 S Introduced -SJ 58
